,Close
2022-01-12,3053285.413985464
2022-01-13,3030905.7380243116
2022-01-14,3008704.3356200787
2022-01-15,2986696.091915827
2022-01-16,2964895.7625496136
2022-01-17,2943317.9637613352
2022-01-18,2921977.1625930336
2022-01-19,2900887.6671897057
2022-01-20,2880063.6172057046
2022-01-21,2859518.9743250515
